"rules","support","confidence","coverage","lift","count"
"{} => {Social_Club_No}",0.811943726672409,0.811943726672409,1,1,2828
"{} => {Support_Group_No}",0.84122882572495,0.84122882572495,1,1,2930
"{} => {Political_No}",0.906115417743325,0.906115417743325,1,1,3156
"{Social_Club_Yes} => {Political_No}",0.165087568188343,0.877862595419847,0.188056273327591,0.968819841523235,575
"{Short} => {Support_Group_No}",0.17312661498708,0.84453781512605,0.204995693367786,1.00393351880001,603
"{Short} => {Political_No}",0.186620729256388,0.910364145658263,0.204995693367786,1.00468894782247,650
"{Hobbies_Yes} => {Support_Group_No}",0.240022968705139,0.8,0.300028710881424,0.95098976109215,836
"{Hobbies_Yes} => {Political_No}",0.267011197243755,0.889952153110048,0.300028710881424,0.98216202448742,930
"{Professional_Yes} => {Social_Club_No}",0.260120585701981,0.801769911504425,0.324432960091875,0.987469802606051,906
"{Professional_Yes} => {Political_No}",0.274476026414011,0.846017699115044,0.324432960091875,0.933675426494835,956
"{Medium} => {Social_Club_No}",0.306057995980477,0.817484662576687,0.374389893769739,1.00682428562751,1066
"{Medium} => {Support_Group_No}",0.315532586850416,0.842791411042945,0.374389893769739,1.00185750329781,1099
"{Medium} => {Political_No}",0.337927074361183,0.90260736196319,0.374389893769739,0.996128466957475,1177
"{Family_Yes} => {Support_Group_No}",0.321848980763709,0.825478645066274,0.389893769738731,0.981277174322809,1121
"{Family_Yes} => {Political_No}",0.349124318116566,0.895434462444772,0.389893769738731,0.988212367774125,1216
"{Religious_Yes} => {Support_Group_No}",0.349698535745047,0.835390946502058,0.418604651162791,0.993060295790671,1218
"{Religious_Yes} => {Political_No}",0.378696525983348,0.904663923182442,0.418604651162791,0.998398112941839,1319
"{Long} => {Social_Club_No}",0.342233706574792,0.813651877133106,0.420614412862475,1.00210377936867,1192
"{Long} => {Support_Group_No}",0.352569623887453,0.838225255972696,0.420614412862475,0.996429544898601,1228
"{Long} => {Political_No}",0.381567614125754,0.907167235494881,0.420614412862475,1.0011607988684,1329
"{M} => {Social_Club_No}",0.397358598908987,0.817483756645009,0.486075222509331,1.00682316987078,1384
"{M} => {Support_Group_No}",0.410852713178295,0.845245126993503,0.486075222509331,1.00477432672982,1431
"{M} => {Political_No}",0.440712029859317,0.906674542232723,0.486075222509331,1.00061705658954,1535
"{No} => {Social_Club_No}",0.40855584266437,0.818286371477861,0.499282227964398,1.00781168028903,1423
